,Text,label
0,"@lindseyhilsum Ms Hilsum sad the atrocities committed across Ukraine and the war crimes. It appears war crimes are only committed by Russia in Aleppo and now on Ukraine. Where is your war crimes coverage in Iraq, Afghanistan also in Syria when west were arming the resistance to remove Assad?",-1
1,"@olusogaowoeye Egbon you &amp; who again? Hayhay. Make we no turn BAT &amp; PYO matter to Ukraine &amp; Russia oo. Just BAT consultation, problem dey ground like this. Anyway all power belongs to God.",0
2,"@idontgetitdude @Kolokal1 @Russia_NC @RussianMemesLtd Nice, thanks!",1
3,@MaajidNawaz I get that 🇬🇧 🇺🇦 🇪🇺 &amp; NATO are not blameless - but nothing excuses the 🇷🇺invasion,0
4,"jesh.

@mfa_russia
@RussianEmbFinla
@KremlinRussia_E https://t.co/npMtrAAbty",0
5,"The evacuation of around 600 Indian students stranded in Ukraine's Sumy who were stranded, have left for Poltava in buses. #IndiaRacism #indianstudentsinukraine #Romania #RussianUkrainianWar #PutinsWar #PutinsWarCrimes #PutinWarCriminal https://t.co/Algx4N9051",0
6,"Saint Michael The Archangel and Coat of Arms of Kiev #DefendUkraine 🗡🗽🇺🇦 @ Kyiv, Ukraine https://t.co/F8KGr7nntP",0
7,Is that true? Johnson blamed EU for Putin attacks on Ukraine ? https://t.co/6F8bWJzpv3,-1
8,Ukraine flags will be added to the Twitter bio soon.,0
9,"@WilfThomas3 @chrisgunter79 @mark_a_norris @SpaJw Including you, it seems. Why are you allowed to opine on Ukraine, Russia, and NATO, but not anyone else?",0
10,"Proud be part of this amazing team!
#ukraine #teamsuperworld 🌎❤️ @TechMentalMedia @superworldapp #ulkamak https://t.co/12qtDxkrFN",1
11,This is a highly emotional topic in Finland; will be interesting to see where this goes #nato @suomi https://t.co/IKuDLL8t2k,1
12,"Trump Answers Media Questions at CPAC 2022: Ukraine Invasion, China, Tru... https://t.co/1vuEUdGYsb via @YouTube",0
13,"For those that left Ukraine and got to Romania, on this group u can find where to sleep around the frontiers or where to let your pets or what restaurants offer meals #Ukraine ❤️ https://t.co/YhGnNVwgJk",0
14,"today was a worst day of my life. To wake to rows of messages from my mom at 6 AM that said ""the war is here"", ""there are explosions"", ""you can hear they're shooting outside"" is quite an experience. Even though my family lives on the south-west of Ukraine https://t.co/h0CrxtvnJR",-1
15,"And this was all according to who? Those that hate Russia? When will the public wake up these ppl are full of shit! The world knows what Israel’s oppression against the Palestinian is, but no one raises their voices? https://t.co/Ihht5AkJAd",-1
16,"I must be naive, but can someone explain why the world is willing to sacrifice Ukraine, instead of banding together to defend it. WW2 all over again. You cant depend on the US, they only enter when sure of winning, but the rest of the world?",1
17,"I don’t have words for the emotions I feel for my friends and colleagues in Ukraine. Please do know that the world is thinking of you, I truly hope the governments of USA and Europe do the right thing, and be safe. https://t.co/tKPh6vl6VE",1
18,China: We warn the United States from pouring fuel to the fire in Ukraine. https://t.co/KW2XxNgbMd,0
19,"@VenediktovaIV @GP_Ukraine Please see this:
The war criminal cowards trow a grenade at civilians that occupy the road for them not to pass. https://t.co/hwsR2SRMBG",-1
20,"Putin has been claiming that this is an effort to de-Nazify Ukraine but Zelensky is Jewish, and his great-grandfather and 3 great grand uncles (brothers of his great grandfather) were holocaust victims. #Zelensky",1
21,Check out AnarchoTok's video! #TikTok https://t.co/kJYlIffXfx #Ukraine #RussiaUkraineConflict #,0
22,"Since Swedish public service broadcaster @sverigesradio isn't restarting it's Russian language broadcasting, Swedish ISP @BahnhofAB is stepping up and starting a Russian language radio station called #NordStream3 aimed at audiences in Russia 🇷🇺 https://t.co/sX6KCpSwPv",0
23,This week is very difficult for the world. Who will win the battle 🔴 . US with EU  vs #Russia . Maybe will be a bloody week 🤼‍♂️🤷🏽‍♂️,-1
24,"Another night going to bed thinking of those brave people in Ukraine and willing them to hold back the aggressors. Stay safe. Glad that Europe has stepped up support, more needed. #StandWithUkriane",1
25,@IlyaMatveev_ fully agree. please help to inform your fellow citizens in Russia what catastrophy was caused by their mad president,1
26,@krisjaniskarins @PaulBrummell @NATO @BorisJohnson @Brivibas36 @LVembassyUK @UKinLatvia @10DowningStreet Good to see U.K. and Latvian friendship and cooperation,1
27,"@ZelenskyyUa @OlafScholz I would take up arms if i was in #Ukraine for you guys . British army vet . Unfortunately I'm in Asia .. good luck , I'm backing you all 💪",1
28,@balajis @Dominic2306 China will be only game in town for RUS and China know it.  Direct pipe for all those fossil fuels at a knockdown price  - Russia will be Chinas bitch or part of NATO within 15 years 🤷🏼‍♂️,-1
29,"@Ulkoministerio @FinGovernment When you are done with amazing lightshow, please send material support to Ukraine.",1
30,"@usambserbia @RSE_Balkan I rather we stay Neutral , No NATO no EU .",0
31,Ukraine meltdown. https://t.co/MW6JATLUpS,0
32,"@RussianEmbassy @mfa_russia @RusembUkraine @natomission_ru @RusEmbUSA @mission_russian @WRForum @REESOxford @spectator @NewStatesman @ForeignAffairs Because, dickless, NATO has never expressed any desire to attack, invade or start a war with Russia. 
What troubled you and your paranoid leader, was Ukraine being a prosperous, successful, democratic sovereign nation whose citizens value freedom. Enjoy yours - while it lasts.",1
33,I posted about it before Sean Penn. 🎤 #golittlerockstar pat pat Ioana #ukraine https://t.co/JuaYGgLhBc,0
34,They are now bombing less than 20 km from the Polish border 😮 A provocation to the West (Nato) https://t.co/RNw751Mhfp,0
35,"For some time already, in front of the Russian embassy in Prague. We stand with Ukraine #IStandWithUkraine https://t.co/r40LLmxQeo",0
36,@chenweihua @kylegriffin1 Nope. As a disabled person w kids in competitive sports: it is absolutely correct to exclude Russia and Belarus. Stop using disabled issues as a “oh those poor ppl” topic. We do not need that special kinda treatment,-1
37,"Russia is guilty of aggression. 

Russia is guilty of occupation. 

Russia is guilty of war crimes. 

Russia is guilty of targeting civilians, triggering a mass exodus. 

Russia is guilty of fake history &amp; grievances. 

Russia is guilty of imprisoning its own protesting citizens. https://t.co/zEhdu7nlSV",-1
38,Fantastic to see support for #Ukraine today @harlequins #StandingWithUkraine https://t.co/4tlqIaFbHx,1
39,"""I was disappointed to see that some of the so-called crypto exchanges...are refusing to end transactions with Russia for some philosophy of libertarianism or whatever,"" said Clinton. https://t.co/ISTPYuHeBb via @reason",-1
40,@SanteSuzie I wish you many more happy birthdays to come in free and prosperous Ukraine.,1
41,Ukraine: the UN’s ‘responsibility to protect’ doctrine is a hollow promise for civilians under fire https://t.co/IMWLrNVqTq via @ConversationUK,0
42,"Russia’s ambassador to Ireland just interviewed on the state broadcaster, interviewer ended with “that was Yury Filatov, Russia’s ambassador to Ireland…for now.”",0
43,@ForeignAffairs #Putin is certainly more popular in #Russia than sleeping #Joe is in the #USA.,1
44,How public opinion in #Russia is already starting to turn against #Putin https://t.co/WcQxY9meDf,0
45,@MontyCristo11 @DatMfZoom @DaryllPitcher @ITVNewsPolitics @BorisJohnson If you favor attacking Russia over Ukraine you favor being vaporized by a nuclear weapon,0
46,"@cryptodrftng Sure, Israel could have sent Iron Dome, drones and I now wish they had. 

But there's a difference between:

A) Israel is on Russia's side because they're both bloodthirsty baby killers.
and
B) Israel has Russian forces on its Syrian border and was concerned about complications",-1
47,"People are leaving their homes and loved ones. For the the sake of humanity Russia should stop this lethal war against #Ukraine .
World don't want War against humanity🙏
🇷🇺❤️🇺🇦
#UkraineRussiaConflict
#Putin   #Peace https://t.co/sCHdwsjmZM",1
48,"@nialltg No, I believe Ukraine closed that mid section of the border several days ago",0
49,Never give up Ukraine... 🇺🇦 https://t.co/mqQrqCIGv3,0
50,"You watching @mfa_russia ?
Ground your planes and the sky will be safe.

Fucking hypocritical, cynical, lying sacks of shit! https://t.co/gOfyBayqv1",-1
51,"@hughes1_graham @TOrynski Russia had a bit of help with that from UK and USA. Uncomfortable truth but, yeah.",1
52,"@RomaniaNATO @MApNRomania ..yeah, NATO sponsored insurgency and guerilla warfare 'education', perhaps?",0
